doc_id,thread_ts,full_user_query,Open Coding,FINAL CODE,deep knowledge (including opinion or speculation),unresolved topic,knowledge seeking: broad description/common sense,knowledge seeking: procedure,knowledge seeking: specific factual,bibliometric search: topic,bibliometric search: specific paper or author,bot capabilities,stress testing
28,1716994179,"<@U07524ZQSD8> What are the most cited papers on spiral galaxy halos measured in X-rays, with publication date from 2010 to 2023?",bibliometric search: topic,,0,0,0,0,0,1,0,0,0
29,1716994236,<@U07524ZQSD8> what is the core Python library for astronomy?,CONTESTED,deep knowledge (including opinion or speculation),0.5,0,0,0.5,0,0,0,0,0
30,1716994251,<@U07524ZQSD8> What are the most cited papers on spiral galaxy halos?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
31,1716994275,<@U07524ZQSD8> Do you know anything about ADS citation counts?,bot capabilities,,0,0,0,0,0,0,0,1,0
32,1716994289,<@U07524ZQSD8> Give three papers on spiral galaxy halos.,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
33,1716994340,<@U07524ZQSD8> Can you list 3 papers published by <redacted: name>?,bibliometric search: specific paper or author,,0,0,0,0,0,0,1,0,0
34,1716994376,<@U07524ZQSD8> How many galaxies are in the SDSS catalog?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
35,1716994411,<@U07524ZQSD8> have extragalactic exoplanets have been discovered?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
36,1716994415,<@U07524ZQSD8> How many galaxies are in the NGC catalog?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
37,1716994440,<@U07524ZQSD8> what are three examples of discoveries enabled by the Cosmicflows catalogs?,deep knowledge (including opinion or speculation),,1,0,0,0,0,0,0,0,0
38,1716994479,<@U07524ZQSD8> what is the power source in quasars?,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
39,1716994509,<@U07524ZQSD8> Do galaxy mergers trigger AGN?,unresolved topic,,0.25,0.75,0,0,0,0,0,0,0
40,1716994590,<@U07524ZQSD8> What mechanism causes gas to fall inward in an accretion disk?,CONTESTED,deep knowledge (including opinion or speculation),0.5,0,0,0,0.5,0,0,0,0
41,1716994652,<@U07524ZQSD8> What is 1 + 1 equal to?,stress testing,,0,0,0,0,0,0,0,0,1
42,1716994654,<@U07524ZQSD8> How are the magnetic dynamos of M dwarfs different from the Sun?,knowledge seeking: broad description/common sense,,0.25,0,0.75,0,0,0,0,0,0
43,1716994751,<@U07524ZQSD8> What causes cosmic rays to be accelerated in super nova remnants?,knowledge seeking: broad description/common sense,,0.25,0,0.75,0,0,0,0,0,0
44,1716994808,<@U07524ZQSD8> Are there open source radiative transfer codes for stellar or planetary atmospheres?,knowledge seeking: procedure,,0,0,0,1,0,0,0,0,0
45,1716994810,<@U07524ZQSD8> What is dielectronic recombination and when is it important?,CONTESTED,knowledge seeking: broad description,0.5,0,0.5,0,0,0,0,0,0
46,1716994845,<@U07524ZQSD8> How does SN 1006 differ from other supernova remnants?,CONTESTED,deep knowledge (including opinion or speculation),0.5,0,0.5,0,0,0,0,0,0
47,1716994955,<@U07524ZQSD8> What object has the highest spectroscopic redshift?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
48,1716994990,<@U07524ZQSD8> provide three papers in the last year using Integral field spectroscopy of AGN with JWST,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
49,1716995069,<@U07524ZQSD8> What are some results using integral field spectroscopy of AGN with JWST?,deep knowledge (including opinion or speculation),,0.5,0,0.25,0,0,0.25,0,0,0
50,1716995204,<@U07524ZQSD8> Provide some wavelengths of [Fe II] emission in the near-IR between 1 and 5um.,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
51,1716995245,<@U07524ZQSD8> What is the most likely source of [Fe II] in an AGN environment?,CONTESTED,knowledge seeing: specific factual,0.5,0,0,0,0.5,0,0,0,0
52,1716995348,<@U07524ZQSD8> What is the most likely source of forbidden Fe II in an AGN environment?,deep knowledge (including opinion or speculation),,0.666666667,0,0,0,0.333333333,0,0,0,0
53,1716995442,<@U07524ZQSD8> How many supernova remnants are known in M33?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
54,1716995452,<@U07524ZQSD8> What are some recent papers that use COS spectroscopy in their analysis?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
55,1716995494,<@U07524ZQSD8> what are some papers in the last two years that use COS spectroscopy in their analysis (May 2022 - May 2024).,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
56,1716995539,<@U07524ZQSD8> What is the cause of extended radio emission in radio-quiet AGN?,knowledge seeking: specific factual,,0,0.25,0.25,0,0.5,0,0,0,0
57,1716995749,<@U07524ZQSD8> Who invented the warm launch concept for cryogenic space telescopes?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
58,1716995791,<@U07524ZQSD8> What is the warm launch concept?,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
59,1716995799,<@U07524ZQSD8> what is the ULLYSES program?,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
60,1716995831,<@U07524ZQSD8> What is ULLYSES about? I think it’s about HST observations.,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
61,1716995860,<@U07524ZQSD8> What is CLASSY? I think it’s about HST observations.,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
62,1716995992,<@U07524ZQSD8> What are some legacy programs that have been performed by HST?,knowledge seeking: broad description/common sense,,0,0,0.75,0,0.25,0,0,0,0
63,1716996053,<@U07524ZQSD8> What are the most important works by <redacted: name>?,bibliometric search: specific paper or author,,0,0,0,0,0,0,1,0,0
64,1716996085,<@U07524ZQSD8> What is spectropolarimetry?,CONTESTED,knowledge seeking: broad description,0,0,0.5,0,0.5,0,0,0,0
65,1716996162,<@U07524ZQSD8> How do astronomers analyze emission lines in IFU cubes? Are there software packages I should use?,knowledge seeking: procedure,,0,0,0,1,0,0,0,0,0
66,1716996244,"<@U07524ZQSD8> Are brown dwarf stars commonly variable in brightness? If so, why?",knowledge seeking: broad description/common sense,,0.25,0,0.5,0,0.25,0,0,0,0
67,1716996451,<@U07524ZQSD8> what is the distance to the Small Magellanic Cloud?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
68,1716996523,<@U07524ZQSD8> what are the top ten most highly cited papers?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
69,1716997040,<@U07524ZQSD8> How variable are AGN? Do we ever see AGN jump in flux by a factor of 2 or 3?,CONTESTED,deep knowledge (including opinion or speculation),0.5,0,0.5,0,0,0,0,0,0
70,1716997109,What is the star formation rate of the Milky Way?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
71,1716997164,"What creates linear sturcture in the difffuse, high-latitude, atomic interstellar medium of the Milky Way?",knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
72,1716997203,<@U07524ZQSD8> what is a good reference for the gas phase metallicity of the small magellanic cloud?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
73,1716997273,<@U07524ZQSD8> What is the age of the beta pictoris moving group?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
74,1716997273,<@U07524ZQSD8> What if the formula for converting Ha surface brightness to emission measure?,knowledge seeking: specific factual,,0,0,0,0.25,0.75,0,0,0,0
75,1716997374,<@U07524ZQSD8> What has been published about the star LSPM J0036+1821?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
76,1716997419,<@U07524ZQSD8> is there a known relationship between Av and Rv?,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
77,1716997567,<@U07524ZQSD8> what is the redshift of the farthest known AGN?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
78,1716997917,<@U07524ZQSD8> what is the hubble tension?,unresolved topic,,0.25,0.5,0.25,0,0,0,0,0,0
79,1716997981,<@U07524ZQSD8> what is the sigma-8 tension in cosmology?,CONTESTED,knowledge seeking: broad description,0,0.5,0.5,0,0,0,0,0,0
80,1716998049,<@U07524ZQSD8> what can we learn from x-ray observations of galaxy clusters?,deep knowledge (including opinion or speculation),,1,0,0,0,0,0,0,0,0
81,1716998209,<@U07524ZQSD8> What is superluminal motion in quasars?,knowledge seeking: broad description/common sense,,0,0,0.75,0,0.25,0,0,0,0
82,1716998331,<@U07524ZQSD8> what is the closest brown dwarf to the solar system? Answer in the form of a haiku.,stress testing,,0,0,0,0,0.25,0,0,0,0.75
83,1716999046,<@U07524ZQSD8> What is a hot subdwarf?,CONTESTED,knowledge seeking: broad description,0,0,0.5,0,0.5,0,0,0,0
84,1716999113,"<@U07524ZQSD8> Are hot subdwarfs surrounded by nebulae, like planetary nebulae?",knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
85,1716999435,<@U07524ZQSD8> Can you please give me an example of a nebula discovered around a hot subdwarf?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
86,1716999491,<@U07524ZQSD8> Can you name a hot subdwarf nebula?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
87,1716999521,<@U07524ZQSD8> What is the closest hot subdwarf nebula?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
88,1716999565,<@U07524ZQSD8> Name a hot subdwarf within a nebula.,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
89,1716999934,<@U07524ZQSD8> Why are quasar accretion disks unpolarized?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
90,1717001066,<@U07524ZQSD8> what are the biggest software projects in astronomy?,deep knowledge (including opinion or speculation),,0.5,0,0.25,0,0.25,0,0,0,0
91,1717001149,<@U07524ZQSD8> what is the smallest known dwarf galaxy?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
92,1717001273,<@U07524ZQSD8> what is the difference between a faint dwarf galaxy and a star cluster?,knowledge seeking: broad description/common sense,,0.25,0,0.5,0,0.25,0,0,0,0
93,1717002327,<@U07524ZQSD8> What are Little Red Dots?,knowledge seeking: broad description/common sense,,0,0,0.5,0,0.25,0,0,0,0.25
94,1717003786,<@U07524ZQSD8> What are you?,bot capabilities,,0,0,0,0,0,0,0,0.75,0.25
95,1717003875,<@U07524ZQSD8> How do you know if a topic relates to astronomy?,bot capabilities,,0,0,0,0,0,0,0,1,0
96,1717004053,what is the most common published word?,stress testing,,0,0,0,0,0.25,0,0,0,0.75
97,1717004078,what is the structure of the SMC?,CONTESTED,knowledge seeking: broad description,0,0,0.5,0,0.5,0,0,0,0
98,1717004438,"<@U07524ZQSD8> In the context of astronomy, what is 1+1?",CONTESTED,stress testing,0,0,0,0,0,0,0,0.5,0.5
99,1717005495,<@U07524ZQSD8> How do I measure the dark matter mass of a Local Group dwarf galaxy,knowledge seeking: procedure,,0,0,0,1,0,0,0,0,0
100,1717006201,what are prospects for measuring galaxy distances with JWST?,deep knowledge (including opinion or speculation),,1,0,0,0,0,0,0,0,0
101,1717006310,what is the laniakea supercluster?,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
102,1717007000,<@U07524ZQSD8> what is the most interesting recent development at the intersection of machine learning and astronomy?,deep knowledge (including opinion or speculation),,1,0,0,0,0,0,0,0,0
103,1717007260,"<@U07524ZQSD8> Based on papers with “<redacted: name>” as an author or co-author, can you suggest the five most recent astro-ph papers that would be relevant?",bibliometric search: specific paper or author,,0,0,0,0,0,0.25,0.75,0,0
104,1717007288,<@U07524ZQSD8> What are some limitations of the extended Press-Schecter formalism for describing galaxy properties?,knowledge seeking: broad description/common sense,,0.25,0,0.75,0,0,0,0,0,0
105,1717007612,<@U07524ZQSD8> Can you summarize the recent Hubble tension controversy and suggest three papers to give me more details?,unresolved topic,,0.25,0.5,0,0,0,0.25,0,0,0
106,1717007685,<@U07524ZQSD8> What kind of research does <redacted: name> do?,bibliometric search: specific paper or author,,0,0,0,0,0,0,1,0,0
107,1717007714,<@U07524ZQSD8> what papers has <redacted: name> authored?,bibliometric search: specific paper or author,,0,0,0,0,0,0,1,0,0
108,1717007813,"<@U07524ZQSD8>, what are the primary results of astro-ph paper 1909.10527 (A Hybrid Deep Learning Approach to Cosmological Constraints From Galaxy Redshift Surveys) ?",bibliometric search: specific paper or author,,0,0,0,0,0,0,1,0,0
109,1717009362,<@U07524ZQSD8> There is a paper about a hybrid deep learning approach to cosmological constraints from galaxy redshift surveys -- can you report its primary results?,bibliometric search: specific paper or author,,0.25,0,0.25,0,0,0,0.5,0,0
110,1717009727,<@U07524ZQSD8> Can you answer these three questions: What is the closest star the solar system? What is the best ice cream flavor? What is the closest galaxy to the Milky Way?,stress testing,,0,0,0,0,0.25,0,0,0,0.75
111,1717016878,<@U07524ZQSD8> What are some names of hot subdwarfs within nebulae?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
112,1717020061,"<@U07524ZQSD8> What is the answer to life, the Universe and Everything?",stress testing,,0.25,0,0,0,0,0,0,0,0.75
113,1717020174,Is Pluto a planet?,knowledge seeking: specific factual,,0,0.25,0,0,0.75,0,0,0,0
114,1717020241,What is the current best estimate for the occurrence of rocky planets in the habitable zone? Please provide citations.,deep knowledge (including opinion or speculation),,0.5,0,0.25,0,0.25,0,0,0,0
115,1717020367,point me to a paper that describes the best way to find stars in JWST MIRI images.,bibliometric search: topic,,0.25,0,0,0.25,0,0.5,0,0,0
116,1717020412,Provide examples of papers that search TESS light curves and images for transits or stellar variability.,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
117,1717033427,how many planets have been found around white dwarf stars.,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
118,1717034839,<@U07524ZQSD8> What are the eight planets in our solar system? Answer as a poem that also includes the best ice cream flavor.,stress testing,,0,0,0,0,0,0,0,0,1
119,1717034863,<@U07524ZQSD8> what are the eight planets in our solar system?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
120,1717034915,what can we talk about?,bot capabilities,,0,0,0,0,0,0,0,0.75,0.25
121,1717035008,assign those four examples specific ice cream flavors as identification tags,stress testing,,0,0,0,0,0,0,0,0,1
122,1717035036,Tell me about Mrk 573,knowledge seeking: broad description/common sense,,0,0,0.75,0,0.25,0,0,0,0
123,1717035051,Do you know what Mrk 573 is?,bot capabilities,,0,0,0.25,0,0.25,0,0,0.5,0
124,1717035059,What about Markarian 573?,knowledge seeking: broad description/common sense,,0,0,0.75,0,0.25,0,0,0,0
125,1717035098,Tell me about NGC 1068,knowledge seeking: broad description/common sense,,0,0,0.75,0,0.25,0,0,0,0
126,1717035151,Is it more luminous than Markarian 573?,knowledge seeking: specific factual,,0,0,0,0,0.75,0,0,0,0.25
127,1717037227,<@U07524ZQSD8> What are the different observing modes on the JWST?,knowledge seeking: specific factual,,0,0,0.25,0,0.75,0,0,0,0
128,1717067321,"<@U07524ZQSD8> In hydrodynamic simulations, why is V_max (or V_circ) more correlated than the halo mass with galaxy stellar mass?",knowledge seeking: broad description/common sense,,0.25,0,0.5,0,0.25,0,0,0,0
129,1717073538,How do dark matter halo spin and shape (like concentration) correlate with the properties of galaxies that occupy them?,CONTESTED,knowledge seeking: broad description,0,0,0.5,0,0.5,0,0,0,0
130,1717082909,<@U07524ZQSD8> can you summarize key results from exoplanet atmospheres posted on astro-ph on the last two weeks?,bibliometric search: topic,,0.25,0,0,0,0,0.75,0,0,0
131,1717083228,<@U07524ZQSD8> is there a paper that explains the different forms of planetary atmospheric escape?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
132,1717087553,What is the gas density per unit volume of HI in the Galactic halo?,knowledge seeking: specific factual,,0.25,0,0,0,0.75,0,0,0,0
133,1717087616,<@U07524ZQSD8> what is the difference between a momentum-driven outflow and an energy-driven outflow?,knowledge seeking: broad description/common sense,,0,0,0.75,0,0,0.25,0,0,0
134,1717087782,Can I direct message you this way?,bot capabilities,,0,0,0,0,0,0,0,0.75,0.25
135,1717088146,What is typical range of periods for brown dwarf brightness oscillations? Answer in the form of a limerick,stress testing,,0,0,0,0,0.25,0,0,0,0.75
136,1717089237,What is the fastest rotating brown dwarf?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
137,1717090897,<@U07524ZQSD8> are there papers that explain the origins of nebular [Fe II] emission near shocks in AGN?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
138,1717091635,Are there any papers on nebular [Fe II] emission observed with JWST NIRSpec?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
139,1717093579,Are there any papers that provide a good list of nebular emission lines in the optical?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
140,1717093637,I need a list of nebular emission lines in the optical to see what lines I’m looking at in this data. Are there any good papers to use as a resource to identify them?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
141,1717093668,I need a list of nebular emission lines in the optical to see what lines I’m looking at in this data of AGN. Are there any good papers to use as a resource to identify them?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
142,1717095278,<@U07524ZQSD8> how many exoplanets have transmission spectra obtained with JWST?,knowledge seeking: specific factual,,0.25,0,0,0,0.75,0,0,0,0
143,1717095428,<@U07524ZQSD8> why are hot Jupiters expected to have prominent water features in their transmission spectra?,deep knowledge (including opinion or speculation),,0.5,0,0.25,0,0.25,0,0,0,0
144,1717098294,Are there any papers about lensed radio sources?,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
145,1717113385,<@U07524ZQSD8> which spectral features in cool stars that are most sensitive to magnetic fields?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
146,1717164734,<@U07524ZQSD8> How did the covid pandemic affect astronomical research?,CONTESTED,deep knowledge (including opinion or speculation),0.25,0.25,0,0,0,0,0,0.25,0.25
147,1717167620,<@U07524ZQSD8> what is known about the non-circular velocity fields in the 21-cm emission of hydrogen in nearby galaxies?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
148,1717167684,<@U07524ZQSD8> what is known about the non-circular velocity fields in the 21-cm emission of hydrogen in nearby galaxy disks?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
149,1717168800,<@U07524ZQSD8> what is known about the non-circular velocity fields in the 21-cm emission of hydrogen in the star-forming component of nearby galaxy disks?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
150,1717168884,<@U07524ZQSD8> what is known about the non-circular velocity fields in the 21-cm emission from the inner component of nearby galaxy disks?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
151,1717168912,<@U07524ZQSD8> what is known about the non-circular velocity fields in the 21-cm emission of hydrogen in the inner component of nearby galaxy disks?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
152,1717168965,What is the distance to HVCs?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
153,1717169091,Is there a commonly used symbol for the angular size of galactic halo clouds?,knowledge seeking: specific factual,,0,0,0,0.25,0.75,0,0,0,0
154,1717169643,What’s the latex symbol for “proportional to”?,bot capabilities,,0,0,0,0.25,0.25,0,0,0.5,0
155,1717170554,"What creates linear sturcture in the difffuse, high-latitude, atomic interstellar medium of the Milky Way?",CONTESTED,knowledge seeking: broad description,0,0,0.5,0,0.5,0,0,0,0
156,1717173795,<@U07524ZQSD8> what is a good tracer of metallicity on the spectrum of an exoplanet?,CONTESTED,knowledge seeking: broad description,0,0,0.5,0,0.5,0,0,0,0
157,1717173927,<@U07524ZQSD8> why is the C/O ratio so important on exoplanet atmospheres?,knowledge seeking: broad description/common sense,,0.25,0,0.75,0,0,0,0,0,0
158,1717174436,Can you answer any questions about weather?,bot capabilities,,0,0,0,0,0,0,0,0.75,0.25
159,1717174455,Can you tell me about black hole weather?,knowledge seeking: broad description/common sense,,0,0,0.5,0,0,0,0.25,0.25,0
160,1717174484,<@U07524ZQSD8> How do dark matter halo spin and shape (like concentration) correlate with the properties of galaxies that occupy them?,knowledge seeking: broad description/common sense,,0.25,0,0.5,0,0.25,0,0,0,0
161,1717174737,<@U07524ZQSD8> Should I expect a galaxy’s merger (or assembly) history to be strongly correlated with its large-scale environment at z=0?,CONTESTED,deep knowledge (including opinion or speculation),0.5,0,0,0,0.5,0,0,0,0
162,1717183682,at what Av does the HI to H2 transition occur?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
163,1717183784,at what Av does the Hi to H2 transition start?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
164,1717183798,at what HI column density does the HI to H2 transition occur?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
165,1717183946,what is the impact of metallicity on the HI to H2 transition?,knowledge seeking: broad description/common sense,,0.25,0,0.5,0,0.25,0,0,0,0
166,1717184005,what is known about the Hi to H2 transition in the Magellanic Clouds?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
167,1717184143,<@U07524ZQSD8> Can you compare and contrast the properties of the planets Jupiter and Mercury?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
168,1717184599,<@U07524ZQSD8> Why are star formation histories derived from resolved stellar populations more accurate from imaging reaching below the oldest main sequence turn-off?,deep knowledge (including opinion or speculation),,0.75,0,0.25,0,0,0,0,0,0
169,1717186211,<@U07524ZQSD8> How does reionization impact the growth of low-mass galaxies at high-redshift?,deep knowledge (including opinion or speculation),,0.5,0,0.25,0,0.25,0,0,0,0
170,1717186817,<@U07524ZQSD8> Is astronomy real?,stress testing,,0,0,0,0,0,0,0,0,1
171,1717186828,<@U07524ZQSD8> Is astrology real?,stress testing,,0,0,0,0,0,0,0,0,1
172,1717261550,<@U07524ZQSD8> What is an IR-tron?,stress testing,,0,0,0.25,0,0.25,0,0,0,0.5
173,1717261931,<@U07524ZQSD8> What are IRTRONS?,stress testing,,0,0,0.25,0,0.25,0,0,0,0.5
174,1717424095,<@U07524ZQSD8> What physical characteristics indicate the transition between a brown dwarf and a low mass star?,knowledge seeking: broad description/common sense,,0,0,0.75,0,0.25,0,0,0,0
175,1717424783,"<@U07524ZQSD8> In high redshift galaxies, which physical properties are directly connected to the UV spectral slope?",deep knowledge (including opinion or speculation),,0.5,0,0.25,0,0.25,0,0,0,0
176,1717427797,<@U07524ZQSD8> What determines whether quasars are radio loud?,knowledge seeking: broad description/common sense,,0,0.25,0.5,0,0.25,0,0,0,0
177,1717428016,<@U07524ZQSD8> How can compressed sensing be used for image deconvolution in radio interferometry?,knowledge seeking: procedure,,0.25,0,0.25,0.5,0,0,0,0,0
178,1717431616,What causes the type-1 / type-2 dichotomy in observed AGN spectra?,knowledge seeking: broad description/common sense,,0.25,0,0.5,0,0.25,0,0,0,0
179,1717431769,Give me the top 5 seminal papers on the Unified Model of AGN.,bibliometric search: topic,,0,0,0,0,0,1,0,0,0
180,1717442948,<@U07524ZQSD8> what machine learning algorithms have been used to perform atmospheric retrievals of exoplanets?,deep knowledge (including opinion or speculation),,0.5,0,0.25,0,0,0.25,0,0,0
181,1717497588,Give an example of a binary star system that has an exoplanet that was detected by TESS.,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
182,1717497684,Do any binary star systems have exoplanets?,knowledge seeking: specific factual,,0,0,0,0,1,0,0,0,0
183,1717510205,<@U07524ZQSD8> why do low-mass galaxies typically have low gas-phase oxygen abundances?,knowledge seeking: broad description/common sense,,0.25,0,0.75,0,0,0,0,0,0
184,1717511337,<@U07524ZQSD8> what's the origin of the multiple Stellar populations in globular clusters?,CONTESTED,unresolved topic,0.5,0.5,0,0,0,0,0,0,0
